stock_receipt_id,item_number,stock_item_description,stock_item_spec,oem_model_no,oem_part_no,subinventory,locator,lot_number,receipt_number,receipt_date,po_number,quantity,uom,locator_segment1,locator_segment2,locator_segment3,locator_segment4,locator_segment5,locator_segment6,locator_segment7,locator_segment8,created_by,creation_date,last_updated_by,last_update_date
21,"2622I06292109020","AVR Mx321 Newage ","AVR Alternator E000-23212 Type M x 321 brand Newage","","","","01E0404B101","","2622090052860",19/10/2020 00:00:00,"2622040030416",1,"Unit","2622","01E","4","4","B","101","","",,,,
22,"2622I06537120030","90031893","Wheel Nut 90031893 (front), Ottawa kalmar","","","","01B0502A106","","2622090052663",06/10/2020 00:00:00,"2622040030320",20,"piece","2622","01B","5","2","A","106","","",,,,
23,"2622I06473399120","9238551224","Air Filter out P 781398/923855.1224/AF 25830","","","","01B0101C102","","2622090052673",07/10/2020 00:00:00,"2622040030343",1,"piece","2622","01B","1","1","C","102","","",,,,
24,"2622I06541220031","T22012193 ","Flexi Hose Brake Chamber T22012193","","","","01B0607B106","","2622090052686",07/10/2020 00:00:00,"2622040030348",5,"pack","2622","01B","6","7","B","106","","",,,,
25,"2622I06473221130","4562093300","Hydraulic Hose 456209.3300 for RS 01 DRD 420 60 S5","","","","01B0608B105","","2622090052642",02/10/2020 00:00:00,"2622040030054",2,"pack","2622","01B","6","8","B","105","","",,,,
26,"2622I06537202040","90010077","Cup, beraing rear axle Ottawa Kalmar","","","","01C0103B208","","2622090052663",06/10/2020 00:00:00,"2622040030320",2,"piece","2622","01C","1","3","B","208","","",,,,
27,"2622I06471260020","9208900012","Motor Wiper 404429, (roof and rear) u/ Kaca belakang, Kalmar Genuine Part, for DRD/DRF/DCE with part catalog 920890.0012","","","","01C0402B103","","2622090052847",16/10/2020 00:00:00,"2622040030323",1,"pack","2622","01C","4","2","B","103","","",,,,
28,"2622I06471260020","9208900012","Motor Wiper 404429, (roof and rear) u/ Kaca belakang, Kalmar Genuine Part, for DRD/DRF/DCE with part catalog 920890.0012","","","","01C0402B103","","2622090052661",06/10/2020 00:00:00,"2622040030323",1,"pack","2622","01C","4","2","B","103","","",,,,
29,"2622I06541210140","T10083958 ","Washer D=8mm for HT Terberg 3126 B","","","","01B0406B107","","2622090052895",21/10/2020 00:00:00,"2622040030425",4,"piece","2622","01B","4","6","B","107","","",,,,
30,"2622I06473399130","9238551225","Air Filter In P 781399/923855.1225/AF 25897","","","","01B0101C103","","2622090052673",07/10/2020 00:00:00,"2622040030343",1,"piece","2622","01B","1","1","C","103","","",,,,
31,"2622I06541540500","T10083976 ","Rubber Support","","","","01B0406B108","","2622090052659",06/10/2020 00:00:00,"2622040030347",10,"piece","2622","01B","4","6","B","108","","",,,,
32,"2622I06541244320","T10104676 ","Accelerator pedal electric","","","","01B0406B204","","2622090052665",06/10/2020 00:00:00,"2622040030346",2,"piece","2622","01B","4","6","B","204","","",,,,
