PAJAK_LINE_ID;BULAN_PAJAK;TAHUN_PAJAK;KODE_CABANG;NAMA_WP;NPWP;ALAMAT_WP;KODE_PAJAK;DPP;TARIF
45383;1;2017;000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";03.276.307.0-093.000;JAKARTA;;;
45382;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45381;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45380;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45379;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45378;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45377;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45376;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45375;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45374;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45373;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45372;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45371;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45370;1;2017;000;"SANTA FE RELOCATION SERVICES";;"JALAN KARANGGAN MUDA RAYA NO. 59 GUNUNG PUTRI 16961, BOGOR";;;
45369;1;2017;000;"SANTA FE RELOCATION SERVICES";;"JALAN KARANGGAN MUDA RAYA NO. 59 GUNUNG PUTRI 16961, BOGOR";;;
45368;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45367;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45366;1;2017;000;"HIDAYAH, CV";21.010.906.2-412.000;"Kp. Sugutamu, Jl. Swadaya No.57, Depok";;;
45365;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45364;1;2017;000;"ASOSIASI DANA PENSIUN";;"Gedung Arthaloka Lt. 16 - Jl. Jenderal Sudirman Kav.2 - Jakarta";;;
45363;1;2017;000;"HIDAYAH, CV";21.010.906.2-412.000;"Kp. Sugutamu, Jl. Swadaya No.57, Depok";;;
45362;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45361;1;2017;000;"HIDAYAH, CV";21.010.906.2-412.000;"Kp. Sugutamu, Jl. Swadaya No.57, Depok";;;
45360;1;2017;000;"BOBOKO EUIS, CV";026760363003000;"JL. SEPAKAT VIII RT.005/001 CILANGKAP";;;
45359;1;2017;000;"HIDAYAH, CV";21.010.906.2-412.000;"Kp. Sugutamu, Jl. Swadaya No.57, Depok";;;
45358;1;2017;000;"LPPM ITS";01.723.619.1.305.000;"KAMPUS ITS SUKOLILO SURABAYA";;;
45357;1;2017;000;"LPPM ITS";01.723.619.1.305.000;"KAMPUS ITS SUKOLILO SURABAYA";;;
45356;1;2017;000;"PT MOBILKOM TELEKOMINDO";03.276.307.0-093.000;"JL.RADEN SALEH RAYA NO.64-66";;;
45355;1;2017;000;"Kamar Dagang Indonesia (KADIN)";;"Menara Kadin Indonesia lt 29";;;
45354;1;2017;000;"ANUGRAH CITRA ABADI, CV";;"JL. KEKERAN NO.21-KRAMAT JATI";;;
45353;1;2017;000;"ANUGRAH CITRA ABADI, CV";;"JL. KEKERAN NO.21-KRAMAT JATI";;;
45352;1;2017;000;"PT MAINTEK MITRA KENCANA";;"JL RAYA SERPONG KADEMANGAN";;;
45351;1;2017;000;"PT MAINTEK MITRA KENCANA";;"JL RAYA SERPONG KADEMANGAN";;;
45350;1;2017;000;"PT MAINTEK MITRA KENCANA";;"JL RAYA SERPONG KADEMANGAN";;;
