"Line Id";"Kode Lampiran";"Kode Transaksi";"Kode Status";"Kode Dokumen";"NPWP Lawan Transaksi";"Nama Lawan Transaksi";"Kode Cabang";"Digit Tahun";"No Seri FP / No Nota Retur";"Tanggal Faktur";"Masa Pajak";"Tahun Pajak";Pembetulan;"Tanggal Tagih";"Tanggal Setor PPN";"Tanggal Setor PPN BM";"Invoice Number";"Tanggal GL";"Mata Uang";"Jumlah DPP";"Jumlah PPN";"Jumlah PPN BM"
1172423;2;;3;1;03.276.309.6-093.000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";001;17;030.001-17.48994434;08/02/2017;2;2017;0;;;;1700141.;27/04/2017;IDR;15554550;1555455;0
1172424;2;;3;3;03.276.309.6-093.000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";;;;;;;0;;;;1700401;13/04/2017;IDR;157272730;15727273;0
1172427;2;;3;5;03.276.309.6-093.000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";017;17;031.017-17.42939463;10/04/2017;4;2017;0;;;;1700404.;21/04/2017;IDR;144000000;14400000;0
1172428;2;;3;1;03.276.309.6-093.000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";017;17;030.017-17.42939491;03/04/2017;4;2017;0;;;;1700441;21/04/2017;IDR;53181820;5318182;0
1172429;2;;3;1;03.276.309.6-093.000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";017;17;030.017-17.42939490;03/04/2017;4;2017;0;;;;1700484;21/04/2017;IDR;424300000;42430000;0
1172430;2;;3;1;03.276.309.6-093.000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";017;17;030.017-17.42939492;04/04/2017;4;2017;0;;;;1700522;21/04/2017;IDR;106909090;10690909;0
1172431;2;;3;1;03.276.309.6-093.000;"PENDIDIKAN MARITIM DAN LOGISTIK INDONESIA, PT.";017;17;030.017-17.42939489;06/04/2017;4;2017;0;;;;1700543;20/04/2017;IDR;31109090;3110909;0
1172432;2;;3;1;01.871.271.1-045.000;"PHILIA CITRA SEJAHTERA, PT";001;17;030.001.17.22320904;03/04/2017;4;2017;0;;;;181/PCS/PST-05/IV/2017;13/04/2017;IDR;168074290;16807429;0
1172433;2;;3;1;;"LAPI ITB PT";017;17;030.017-17.63241978;03/04/2017;4;2017;0;;;;"187/PT.LAPI ITB/INV-R/IV/2017";28/04/2017;IDR;305517500;30551750;0
1172434;2;;3;1;;"MITSUBISHI JAYA, PT";000;17;030.000-17.84838867;23/02/2017;2;2017;0;;;;2017/84838867;11/04/2017;IDR;17962500;1796250;0
1172435;2;;3;5;;"SUCOFINDO (PERSERO) CABANG JAKARTA, PT";017;17;031.017-17.56686591;06/04/2017;4;2017;0;;;;36011709543;28/04/2017;IDR;207875000;20787500;0
1172436;2;;3;1;01.723.619.1.305.000;"SERASI AUTORAYA, PT";000;17;030.000-17.13848366;24/01/2017;1;2017;0;;;;4066064728;05/04/2017;IDR;25881810;2588181;0
1172437;2;;3;1;01.723.619.1.305.000;"SERASI AUTORAYA, PT";000;17;030.000-17.13853265;24/02/2017;2;2017;0;;;;4066065393;05/04/2017;IDR;25881810;2588181;0
1172438;2;;3;1;01.307.261.6-054.000;"ASTRA GRAPHIA, PT";001;17;030.001.17.21881113;29/03/2017;3;2017;0;;;;7012121615;26/04/2017;IDR;156997030;15699703;0
1172439;2;;3;1;01.307.261.6-054.000;"ASTRA GRAPHIA, PT";001;17;030.001-17.21881114;29/03/2017;3;2017;0;;;;701212319S;20/04/2017;IDR;151994400;15199440;0
1172469;2;;3;3;;;;;;;;;0;;;;"Dibayarkan ke : PT DWI JAVA No Faktur 030.001-17.36433319";10/04/2017;IDR;18046500;1804650;0
1172440;2;;3;5;;"INDOPOS INTERMEDIA PRESS, PT";001;17;031.001-17.42317875;03/04/2017;4;2017;0;;;;IK-JK00109-2017/IK004/IKLAN-KOLC;20/04/2017;IDR;20000000;2000000;0
1172441;2;;3;1;;"Center for Risk Management Studies (CRMS)";001;17;030.001-17.31796336;01/03/2017;3;2017;0;;;;IN/CRMS/000759;07/04/2017;IDR;28915000;2891500;0
